building,floor,floor_number,site,site_height,site_area,floor_height,floor_area,building_area
0,11,11,NULL,NULL,NULL,3.7,NULL,NULL
0,10,10,NULL,NULL,NULL,3.7,NULL,NULL
0,9,9,NULL,NULL,NULL,3.7,NULL,NULL
0,8,8,NULL,NULL,NULL,3.7,NULL,NULL
0,7,7,NULL,NULL,NULL,3.7,NULL,NULL
0,6,6,NULL,NULL,NULL,3.7,NULL,NULL
0,5,5,NULL,NULL,NULL,3.7,NULL,NULL
0,4,4,NULL,NULL,NULL,3.7,NULL,NULL
0,3,3,NULL,NULL,NULL,3.7,NULL,NULL
0,2,2,NULL,NULL,NULL,3.7,NULL,NULL
0,1,1,NULL,NULL,NULL,3.7,NULL,NULL
0,0,0,NULL,NULL,NULL,3.7,NULL,NULL
0,12,12,NULL,NULL,NULL,3.7,NULL,NULL
0,13,13,NULL,NULL,NULL,3.7,NULL,NULL
0,14,14,NULL,NULL,NULL,3.7,NULL,NULL
0,15,15,NULL,NULL,NULL,3.7,NULL,NULL
